ClassNo,FXY,ElementName_cn,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,ElementName_en,No
1,1192,本地测站标识,CCITT IA5,0,0,72,,1
2,2192,探空仪生产厂家,Code table,0,0,7,,2
2,2200,气压的计算方法,Code table,0,0,4,,3
2,2193,施放计数,Numeric,0,0,8,,4
2,2194,附加物重量,kg,3,0,14,,5
2,2195,球与探空仪间实际绳长,m,1,0,10,,6
2,2196,总举力,kg,3,0,14,,7
2,2197,净举力,kg,3,0,14,,8
2,2198,平均升速,m/min,1,0,14,,9
10,10192,气压基测值,Pa,-1,0,14,,10
10,10193,气压仪器值,Pa,-1,0,14,,11
10,10194,气压偏差,Pa,-1,0,14,,12
12,12192,温度基测值,K,2,0,16,,13
12,12193,温度仪器值,K,2,0,16,,14
12,12194,温度偏差,K,2,0,16,,15
13,13192,相对湿度基测值,%,0,0,7,,16
13,13193,相对湿度仪器值,%,0,0,7,,17
13,13194,相对湿度偏差,%,0,0,7,,18
2,2199,仪器检测结论,Code table,0,0,2,,19
4,4192,时间差,s,0,-86400,18,,20
8,8192,时间含义标识,Code table,0,0,5,,21
20,20192,国内观测天气现象,Code table,0,0,7,,22
28,28192,采样时距离,Code table,0,0,19,,23
26,26192,国内观测天气现象,Code table,0,0,7,,24
2,2201,本地地面传感器标识,Code table,0,0,3,,25
20,20211,连续观测天气现象,CCITT IA5,0,0,960,,26
2,2207,日照时制方式,Code table,0,0,3,,27
12,12195,路面温度,K,1,0,12,,28
12,12196,10cm路基温度,K,1,0,12,,29
13,13195,雪压,g/cm2,0,0,11,,30
13,13196,蒸发水位,mm,0,0,6,,31
20,20193,冻土深度第一层上限值,m,2,0,10,,32
20,20194,冻土深度第一层下限值,m,2,0,10,,33
20,20195,冻土深度第二层上限值,m,2,0,10,,34
20,20196,冻土深度第二层下限值,m,2,0,10,,35
20,20197,龙卷、尘卷风距测站距离,m,-3,0,8,,36
20,20198,电线积冰-南北方向直径,m,3,0,10,,37
20,20199,电线积冰-南北方向厚度,m,3,0,10,,38
20,20200,电线积冰-南北方向重量,1g/m,0,0,14,,39
20,20201,电线积冰-东西方向直径,m,3,0,10,,40
20,20202,电线积冰-东西方向厚度,m,3,0,10,,41
20,20203,电线积冰-东西方向重量,1g/m,0,0,14,,42
20,20204,路面状况,Code table,0,0,5,,43
20,20205,路面雪层厚度,mm,0,0,12,,44
20,20206,路面水层厚度,mm,1,0,8,,45
20,20207,路面冰层厚度,mm,1,0,8,,46
20,20208,融雪剂浓度,%,0,0,5,,47
26,26195,现象出现时间的时,Hour,0,0,5,,48
26,26196,现象出现时间的分,Minute,0,0,6,,49
20,20212,小时连续观测天气现象,CCITT IA5,0,0,3600,,50
2,2202,本地辐射传感器标识,Code table,0,0,10,,51
14,14192,直射辐射辐照度,Wm-2,0,0,24,,52
14,14193,散射辐射辐照度,Wm-2,0,0,24,,53
14,14194,总辐射辐照度,Wm-2,0,0,24,,54
14,14195,反射辐射辐照度,Wm-2,0,0,24,,55
14,14196,大气长波辐射辐照度,Wm-2,0,0,24,,56
14,14197,地球长波辐射辐照度,Wm-2,0,0,24,,57
14,14198,紫外辐射(UVA)辐照度,Wm-2,2,0,24,,58
14,14199,紫外辐射(UVB)辐照度,Wm-2,2,0,24,,59
14,14200,光合有效辐射辐照度,umol/s.m-2,0,0,24,,60
14,14201,反射辐射曝辐量,MJm-2,2,0,15,,61
14,14202,大气长波辐射曝辐量,MJm-2,2,0,15,,62
14,14203,地球长波辐射曝辐量,MJm-2,2,0,15,,63
14,14204,紫外辐射(UVA) 曝辐量,MJm-2,3,0,15,,64
14,14205,紫外辐射(UVB) 曝辐量,MJm-2,3,0,15,,65
14,14206,净全辐射辐照度,Wm-2,0,-1000,24,,66
14,14207,紫外辐射辐照度,Wm-2,2,0,24,,67
14,14208,紫外辐射曝辐量,MJm-2,-3,0,15,,68
14,14209,大气浑浊度,,2,0,12,,69
20,20209,作用层情况,Code table,0,0,3,,70
20,20210,作用层状况,Code table,0,0,4,,71
2,2203,酸雨复测指示码,Code table,0,0,4,,72
2,2204,酸雨测量电导率的手动温度补偿功能指示码,Code table,0,0,1,,73
2,2205,酸雨样品延迟测量指示码,Code table,0,0,4,,74
2,2206,酸雨降水样品异常状况,Code table,0,0,3,,75
11,11235,,Code table,0,0,6,Turbulence index,76
21,21192,,dB,2,-5000,13,Radar back scatter,77
12,12197,24小时变温,K,1,-2732,12,,78
15,15192,K=0.4负离子值,个/cm3,-1,0,17,,79
15,15193,K=0.4正离子值,个/cm3,-1,0,17,,80
48,48192,计算机通信状态,Code table,0,0,2,,81
48,48193,设备断电报警,Code table,0,0,2,,82
49,49192,是否做异常数据剔除与外延,Code table,0,0,2,,83
49,49193,异常数据判断阈值倍数,Numeric,2,0,10,,84
33,33192,是否有异常数据,Code table,0,0,2,,85
33,33193,是否有数据缺失,Code table,0,0,2,,86
14,14210,太阳直接辐射辐照度,Wm-2,0,0,24,,87
14,14211,直射辐射曝辐量,MJm-2,2,0,15,,88
14,14212,散射辐射曝辐量,MJm-2,2,0,15,,89
14,14213,总辐射曝辐量,MJm-2,2,0,15,,90
14,14214,净全辐射曝辐量,MJm-2,2,-1000,15,,91
14,14215,光合有效曝辐量,MJm-2,2,0,15,,92
13,13205,谱图数据编号,Code table,0,0,12,,93
13,13206,雨滴个数,Numeric,0,0,16,,94
2,2240,雨滴谱的设备类型,Code table,0,0,4,,95
13,13162,Cloud liquid water,kg m-2,2,0,8,Cloud liquid water,96
